vin,vout,L,C,fsw,iload,rds_on,duty_cycle,delta_il,ccm,delta_vout,p_cond,p_sw,p_total_loss,efficiency
12.0,5.0,4.6861734743555864e-05,0.00031266806629828543,725477.5508196137,2.3918181408141628,0.01601825913475143,0.4166666666666667,0.08579153901594973,True,0.0009051920696310048,0.09540031777406661,0.4164504880329074,0.5118508058069741,0.9589565226168726
12.0,5.0,2.7085337207437956e-05,1.5209592358787048e-05,860639.8942507716,2.8995207728904595,0.02885744683211618,0.4166666666666667,0.1251212509828095,True,0.0024460312973194395,0.18518882508304008,0.5989063803260065,0.7840952054090466,0.9486905741420177
12.0,5.0,3.07656064113904e-05,3.797791456254677e-05,361211.82138910174,1.0679695194511376,0.013749391887621445,0.4166666666666667,0.26245772710973925,True,0.005016109887782419,0.018030041231320224,0.09258317167415737,0.1106132129054776,0.9797057135610875
12.0,5.0,4.093110906936571e-05,0.00046747817679015214,631791.7286888645,2.485421502769248,0.017791589057251533,0.4166666666666667,0.11278707917382577,True,0.0011756054794286508,0.1075851346508592,0.3768644994612141,0.4844496341120733,0.9624793796317063
12.0,5.0,2.776673954541941e-05,0.0001679359732023341,814581.6616618511,1.3937042343674875,0.04178649567516624,0.4166666666666667,0.12895176266421796,True,0.0014073484552728551,0.053281502702056505,0.2724686186630942,0.3257501213651507,0.9553416498686151
12.0,5.0,4.084605503264089e-06,0.00024717056090353933,542118.9513456214,4.110028365923166,0.049164241679960266,0.4166666666666667,1.31717078845776,True,0.014400450075893412,0.5193719599258617,0.5347498242564059,1.0541217841822677,0.951207696636833
12.0,5.0,5.866805756108605e-06,0.0004218569071528537,381283.4551307371,4.2645118889098335,0.04574715305159905,0.4166666666666667,1.3038785125301409,True,0.014052075731594267,0.532628103529144,0.39023707858791534,0.9228651821170594,0.9585143822783767
12.0,5.0,1.5017795752614032e-05,0.000367682084280414,826315.0671662859,1.8631033374439412,0.011988893965836583,0.4166666666666667,0.23503629527877096,True,0.002447063026533045,0.05212027914750042,0.36948248626025326,0.42160276540775365,0.9567014898544777
12.0,5.0,1.535191074119664e-05,0.000267885246344764,667306.9425679899,2.8553536047134216,0.046170158333832666,0.4166666666666667,0.28470737582349775,True,0.0030461568113969587,0.23857266349749756,0.4572953481388325,0.69586801163633,0.9535240147426134
12.0,5.0,3.234245224143235e-05,0.0003778506483144529,596257.3477060909,4.4433212573841665,0.0489612483671639,0.4166666666666667,0.1512446805210796,True,0.0015963611496795343,0.6002585757160118,0.6358471075041542,1.236105683220166,0.9472936995604634
12.0,5.0,1.5954779673820074e-05,0.00026812478407264883,629865.2813102634,3.309405905017565,0.02170093725967751,0.4166666666666667,0.29023401966643764,True,0.003117159695780816,0.20868546739785176,0.5002751715200965,0.7089606389179482,0.9589150994999541
12.0,5.0,3.0069987034231975e-05,2.6955486171141812e-05,569426.6581598879,4.661683301403004,0.035502409967272476,0.4166666666666667,0.17033965462014475,True,0.0030906020749065684,0.5388366971198861,0.6370768184922397,1.1759135156121259,0.951972812222127
12.0,5.0,3.610396880835885e-05,0.00013785666795962818,950845.8029370799,0.28566165066583893,0.04844165072649221,0.4166666666666667,0.08496141937140947,True,0.000930634503811503,0.0024812507615202765,0.0651888435829659,0.06767009434448618,0.9547653250130816
12.0,5.0,2.143536576982776e-05,9.00681077690878e-05,687487.2882214414,4.385187472717169,0.04689698213416935,0.4166666666666667,0.19792070409526114,True,0.002378751883570055,0.5681546358362627,0.723542554550631,1.2916971903868937,0.9443656851698583
12.0,5.0,7.1291051865949865e-06,0.0003523176118419091,656574.3525245211,1.9627969056826886,0.04210228004618387,0.4166666666666667,0.6231145059814734,True,0.006567857845006294,0.10700107358249841,0.30929330579657877,0.4162943793790772,0.959307621705017
12.0,5.0,3.945298415140786e-05,0.0004587685851019113,763369.6844852567,3.5974991961395912,0.012223298215356017,0.4166666666666667,0.09684384665158878,True,0.0010030048118296994,0.19534593879349954,0.6590932383103306,0.8544391771038302,0.9546522599750038
12.0,5.0,8.815633229678365e-06,0.00013827853429984892,432782.26918056275,0.2306796488608044,0.024058168501928205,0.4166666666666667,0.7644759465784807,False,0.009241556109590534,0.0020407712320322288,0.023960174853061043,0.02600094608509327,0.9779540750095692
12.0,5.0,2.930299029801601e-05,0.00040618805603944287,899439.3883777411,2.1497610190042833,0.02948853628822362,0.4166666666666667,0.11066313127851288,True,0.0011444942164536328,0.10302099281895284,0.46405913666196535,0.5670801294809182,0.9498863660924188
12.0,5.0,1.6506869041577426e-06,0.0004467124752005171,657075.0228365037,3.8310537591454374,0.026834608013819213,0.4166666666666667,2.689101120643726,True,0.02803619213501545,0.3236380724714905,0.6041495367068068,0.9277876091782973,0.9538024695806921
12.0,5.0,8.390962436907833e-06,8.692044716869609e-05,835143.1123342286,3.1021970075048335,0.047861494179459334,0.4166666666666667,0.41621154023699175,True,0.0048788217898622244,0.28858564843167067,0.621786831341164,0.9103724797728346,0.9445616795801492
12.0,5.0,3.0955759931731126e-05,0.00039947004525484823,781637.6758498598,0.8736613874040607,0.020160844851652718,0.4166666666666667,0.12054240266557852,True,0.0012536810081641434,0.014066978819085071,0.16389279751926578,0.17795977633835086,0.9608558433636466
12.0,5.0,4.00096063052273e-06,2.6811727861798216e-05,843560.8257040788,4.720363709857,0.022464821290359767,0.4166666666666667,0.864183792750529,True,0.01341795456568135,0.4325888031483711,0.9556593380905293,1.3882481412389005,0.9444480017428158
12.0,5.0,5.41017566952503e-06,0.00034355587273020234,737208.5894240332,2.936106968318882,0.009869837957249758,0.4166666666666667,0.731282271054519,True,0.0076737396735461995,0.12228830043892736,0.519485586362985,0.6417738868019124,0.9581150661967452
12.0,5.0,2.813716377551239e-05,0.0004254883922709499,724078.5025257386,2.216925837009384,0.03867582310669231,0.4166666666666667,0.14315971533139826,True,0.0014896812806461234,0.12839320098480259,0.3852548016653698,0.5136480026501724,0.955713422404232
12.0,5.0,3.260562455761014e-06,2.328598009854009e-05,704585.9610712836,4.259107624125041,0.00651639706766376,0.4166666666666667,1.2695806342851341,True,0.02236837441249924,0.23236096832071404,0.7202177852760416,0.9525787535967557,0.9571838480091556
12.0,5.0,1.1217570887735952e-05,0.00032793849038427247,770633.3761697117,0.802983365136891,0.02019436727126728,0.4166666666666667,0.3373961800254432,True,0.0035408439811600574,0.01204791177925266,0.14851338760405408,0.16056129938330674,0.9615466074605046
12.0,5.0,1.2160125491293403e-05,0.0003009636439944039,671315.8789023412,0.7789751573080177,0.04038293332931109,0.4166666666666667,0.3572907901825437,True,0.0037939580845357977,0.016563592164871965,0.12550521416911714,0.1420688063339891,0.9648078384368302
