L,C,fsw,iload,rds_on,vout_max,vout_min,ripple,pin_avg,pout_avg,efficiency_spice,vin,vout,duty_cycle,delta_il,ccm,delta_vout,p_cond,p_sw,p_total_loss,efficiency_analytical,vout_spice,vout_error_pct,efficiency_error_pct,ripple_error_pct,Q_factor,ripple_abs_error
4.606600913256578e-06,0.0004149341812337,904121.717170193,1.6547137112831674,0.0138008972382738,4.81657934189,4.81535816193,0.0012211799599999,-7.98667349335,7.67586568382,0.9610841973458925,12.0,5.0,0.4166666666666667,0.7002922300408994,True,0.0072362590840423,0.0437694210856968,0.3590550244968961,0.4028244455825929,0.953572360600792,4.81596875191,-3.680624961800003,0.7877573905736627,-83.1241537123388,28.677840851430968,-0.0060150791240424
2.419074295336885e-05,0.000297426853049,261329.83745109595,4.46968507062143,0.0054876729854468,4.79210424423,4.78714942932,0.0049548149099996,-21.4109152362,20.5050932438,0.9576934482992814,12.0,5.0,0.4166666666666667,0.4613691942914352,True,0.0053556672152515,0.2456792885006684,0.2803348975111412,0.5260141860118096,0.9770042809087304,4.789626836775,-4.2074632645000065,-1.9765351070404336,-7.4846380318474734,3.9224603723326266,-0.0004008523052519003
1.7116887948002547e-05,0.0002109642178762,366481.4774601216,4.312533106372007,0.0191786729988541,4.7690038681,4.76806116104,0.0009427070600001,-20.6106487061,19.6124916544,0.9515708085692332,12.0,5.0,0.4166666666666667,0.4649539707970623,True,0.0054012649689922,0.3349217995198524,0.3793112410605362,0.7142330405803887,0.9679383986842768,4.76853251457,-4.629349708599992,-1.690974357179359,-82.54655038380767,4.0703294141846955,-0.0044585579089921005
7.968392268746452e-06,0.0002111184080661,521835.71888231294,4.467955621742182,0.0256459319230975,4.75731754303,4.75647735596,0.0008401870699996,-21.2714747108,20.2204171907,0.95058840374775,12.0,5.0,0.4166666666666667,0.7014266949566325,True,0.0078101191076071,0.4137911348113876,0.5595693201134647,0.9733604549248522,0.958248416348234,4.756897449495,-4.862051010100004,-0.7993764946333384,-89.2423270577109,5.76021709914771,-0.0069699320376075
4.307479349112193e-05,0.0001805126743916,970634.7198754152,1.234168277021274,0.0155326144850718,4.8456120491,4.79020595551,0.0554060935899993,-5.95551135742,5.73019970083,0.9621675380890202,12.0,5.0,0.4166666666666667,0.0697602088577065,True,0.0007473705554618,0.0250962405415439,0.2875023791629603,0.3125986197045043,0.9517850678848654,4.817909002305,-3.641819953900001,1.0908418879934323,7313.470223718395,8.293500467120458,0.054658723034537504
1.3986585705684028e-05,1.1666071492332638e-05,417342.767327081,0.5861487514251217,0.012321429836002,4.83023813546,4.81663745582,0.0136006796400005,-2.82951646415,2.72792177111,0.9640946803712912,12.0,5.0,0.4166666666666667,0.4996687581134854,True,0.0178251522947734,0.0055144420289824,0.0587099860764176,0.0642244281054001,0.9785558897012302,4.82343779564,-3.531244087199994,-1.4778112811067183,-23.699503852270475,7.790559008905974,-0.004224472654772901
2.781351208976737e-05,0.0002415259066305,386248.43747617473,2.7034728461286583,0.0301153961326866,4.78467512131,4.77605724335,0.0086178779599999,-12.9395968356,12.352081107,0.9545955151412756,12.0,5.0,0.4166666666666667,0.2714964972512923,True,0.0030787491344667,0.1649371424426074,0.2506109190183507,0.4155480614609581,0.970175075192539,4.780366182330001,-4.392676353399985,-1.6058503717147634,179.9149129600222,5.450068201837018,0.0055391288255332
3.300360120011609e-05,1.3327751010108915e-05,860250.4097941094,4.150383807116961,0.0126227262186587,4.78807783127,4.78691768646,0.00116014481,-19.9192914364,19.0256826364,0.9551385247385332,12.0,5.0,0.4166666666666667,0.1027307785530379,True,0.0021473356663164,0.2628682423018686,0.8568886490100486,1.1197568913119174,0.9488033338160936,4.787497758864999,-4.250044822700012,0.6677032738659795,-45.97282445412249,0.7655604945601945,-0.0009871908563164
1.0473600159611762e-05,0.0004099774422044,900891.3070400876,4.034612651230594,0.0252254192884809,4.77133560181,4.76894283295,0.00239276886,-19.2920516265,18.3602180263,0.9516985741982976,12.0,5.0,0.4166666666666667,0.3091138126114248,True,0.0031957536337694,0.3340367597971708,0.8723393915442247,1.2063761513413955,0.9435730690432176,4.77013921738,-4.597215652400006,0.861142122604166,-25.126616935807956,7.753542004842084,-0.0008029847737694002
3.9588909762044414e-05,0.0004301914911195,449725.7892818304,1.8995553408800137,0.0345954750069304,4.8516087532,4.7476067543,0.1040019989000002,-9.14605225403,8.75638686276,0.9573952367155673,12.0,5.0,0.4166666666666667,0.1638194500859535,True,0.001744038409192,0.0881507126223699,0.2050269659908273,0.2931776786131973,0.9700562716212994,4.799607753749999,-4.007844925000015,-1.3051856140851654,5863.2860349780685,8.676852019935652,0.1022579604908082
