L,C,fsw,rds_on,efficiency,ripple,p_total_loss
2.9378872535013895e-05,0.00011179209646496548,109015.77011329781,0.005100713952218414,0.9692213733388365,0.016271026616325377,0.3385574910076973
2.9378872535013895e-05,0.00012365669032872914,109015.77011329781,0.005100713952218414,0.9692346651746214,0.016218010147442816,0.3388803395661232
4.519390093065687e-05,8.369854438319946e-05,149502.69099415315,0.005110138350243812,0.9670990402457381,0.006366425936450956,0.35597720149411094
2.9122037718256785e-05,0.00012578230795085032,142344.66692134785,0.005109422432833433,0.9676608045293272,0.008854672124018668,0.3408540558869594
1.4772676281705705e-05,9.717914043858684e-05,155613.62343412344,0.005100014448888088,0.9669602711392821,0.022393440639009474,0.3311420192389938
3.556587756490765e-05,0.00010760320130190657,120377.40774932748,0.005100701980724936,0.9685375983473922,0.011017474157145022,0.3500918615000077
1.4777924938922106e-05,1.8781704581681436e-05,155612.53619225783,0.005122334813598457,0.9671227534009398,0.06263280827306747,0.330580498781726
4.50990686736189e-05,8.23766772836922e-05,112386.36563414145,0.005173231596454588,0.9689876134154464,0.01069783214234352,0.3542379623952405
2.8586669738607997e-05,0.00013016787660786205,103288.32534341163,0.005101637410736622,0.969349940557617,0.017505418320527075,0.3362569528850433
3.547348464605424e-05,0.00010536546477524206,122698.5558399752,0.0051021117092154185,0.968416362499919,0.010793429610660075,0.35199550719426353
3.507905671408176e-05,0.00015074315190807645,120553.54425878408,0.0051321515189567185,0.9685676986930037,0.012405379344163895,0.3436802494558212
1.8762696793262752e-05,1.0796272633492411e-05,155613.7588327243,0.005101134654644978,0.9673068125440062,0.0940876321842575,0.33030600449137415
3.334500736472465e-05,0.00015333292186418078,105383.91189765163,0.0051214106008411605,0.9691081340071822,0.015266493562994957,0.33755699724281996
3.5529736170666546e-05,9.869003385304104e-05,105479.05970500493,0.0051026086221631385,0.9691038424727584,0.014577643757095336,0.34167210192845543
1.299980878842586e-05,3.755685534192679e-05,154650.9934329417,0.00510016711366975,0.9670738179875792,0.04027363825344085,0.33033358654074396
4.506815569246601e-05,8.404641795972277e-05,175826.93166326513,0.005157129705954416,0.9662651712653304,0.00393456481151819,0.3367516805797073
4.656356540828118e-05,1.5569582303135953e-05,155365.96844147416,0.005103161624464124,0.9667094642874862,0.024024355407491007,0.3276568686037513
1.3649706140176237e-05,1.03953605742984e-05,155590.50746722566,0.005122272987039786,0.9674653608991087,0.10503312367700576,0.33105727633528437
3.556587756490765e-05,0.00010521503172101503,120377.40774932748,0.005100942999509015,0.9685375983473922,0.011017474157145022,0.3500918615000077
2.894382758870967e-05,0.0001261316501683898,133632.13981176337,0.005121994534427307,0.9681184489919127,0.010216397044589518,0.3487031254204628
3.0386564086985703e-05,0.00011355881890199911,149496.8370174412,0.005101633916402852,0.96709057638618,0.008644214642574786,0.34301681042263443
4.5142054989090256e-05,8.373128123563741e-05,129056.00967660261,0.005100032738656059,0.968157618736949,0.008058891442945002,0.3601063004436986
1.4772676281705705e-05,9.717914043858684e-05,155613.62343412344,0.005100109485626357,0.9669602711392821,0.022393440639009474,0.3311420192389938
1.478306683099384e-05,2.314890122932478e-05,155612.53619225783,0.005122377068684481,0.967098017473358,0.04770083892845153,0.3301411678462478
2.1664608215178384e-05,1.046637965088777e-05,154618.5557637618,0.005100361025359886,0.9670752484990538,0.06601754743360519,0.3298366775184127
4.519390093065687e-05,8.369800638219808e-05,149502.69099415315,0.005110138350243812,0.9670990402457381,0.006366425936450956,0.35597720149411094
4.5142054989090256e-05,8.293765456736954e-05,181946.80955283507,0.005100032738656059,0.9660319978949691,0.0038145215226018407,0.34738227328352655
2.9468713801313412e-05,1.0773233996380354e-05,155575.50585880582,0.005121523011256096,0.9670716722203673,0.06139669734739303,0.32895956536822046
1.2888441809280454e-05,4.512903466803435e-05,155496.1579949821,0.005102345860754064,0.967113931913513,0.03512571919464111,0.33085243007235254
2.894382758870967e-05,0.00012558196013850228,133632.13981176337,0.005121994534427307,0.9681184489919127,0.010216397044589518,0.3487031254204628
2.9257231967479192e-05,0.00013016787660786205,103288.32534341163,0.005101637410736622,0.9693632323934019,0.01656175758444309,0.33630558282459944
